LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Bhaisepati, Lalitpur",62500000.0,2190.4,13.0,NORTH-WEST,2.5,5.0,6.0,Bungalow,5.0,2,1,0,0,1,1,1,0,0,0,1,11
"Budhanilkantha, Kathmandu",160000000.0,4107.0,12.0,NORTH,2.5,7.0,7.0,Bungalow,5.0,1,1,1,0,0,1,1,1,0,0,1,11
"Hattiban, Lalitpur",28000000.0,752.95,12.0,NORTH,2.5,4.0,4.0,House,5.0,1,1,1,0,0,1,1,1,0,1,0,11
"Imadol, Lalitpur",59900000.0,2395.75,20.0,EAST,2.5,,5.0,Bungalow,5.0,1,1,1,0,0,1,1,0,0,0,0,11
"Bhaisepati, Lalitpur",48000000.0,1711.25,25.0,SOUTH,2.5,6.0,4.0,House,5.0,2,1,1,0,0,1,1,1,0,1,0,11
"Imadol, Lalitpur",25000000.0,1060.9750000000001,13.0,NORTH,3.0,5.0,3.0,House,7.0,1,1,1,0,0,1,1,1,0,0,1,11
"Bhaisepati, Lalitpur",40000000.0,1369.0,18.0,NORTH-EAST,2.5,4.0,5.0,House,7.0,1,1,1,0,1,1,1,0,0,0,1,11
"Nakhipot, Lalitpur",60000000.0,2395.75,13.0,EAST,2.5,5.0,3.0,Bungalow,7.0,2,1,1,0,0,1,1,0,0,0,1,11
"Imadol, Lalitpur",25000000.0,1197.875,12.0,WEST,2.5,4.0,4.0,House,12.0,1,1,0,0,0,1,1,1,0,0,0,11
"Imadol, Lalitpur",27000000.0,1129.425,12.0,EAST,2.0,5.0,4.0,House,5.0,3,1,1,0,1,1,1,0,0,0,1,11
"Gwarko, Lalitpur",27500000.0,1026.75,12.0,NORTH,2.5,5.0,4.0,Bungalow,9.0,1,1,0,0,0,1,1,1,0,1,0,11
"Budhanilkantha, Kathmandu",110000000.0,3764.75,16.0,SOUTH-EAST,2.5,5.0,5.0,House,6.0,4,1,1,0,1,1,1,0,0,0,1,11
"Hattiban, Lalitpur",32500000.0,1129.425,15.0,NORTH-EAST,2.5,6.0,4.0,House,6.0,1,1,1,0,1,1,1,0,0,0,1,11
"Hattiban, Lalitpur",28000000.0,1060.9750000000001,13.0,SOUTH-WEST,2.0,5.0,4.0,House,5.0,1,1,1,0,1,1,1,1,0,0,0,11
"Imadol, Lalitpur",31000000.0,1095.2,12.0,WEST,3.0,6.0,4.0,House,5.0,2,1,1,1,1,1,1,1,0,0,1,11
Other,40000000.0,1711.25,13.0,SOUTH,2.5,4.0,4.0,House,6.0,0,1,1,0,1,1,1,0,0,1,1,11
Other,35000000.0,2053.5,15.0,NORTH,2.5,3.0,3.0,House,8.0,0,0,1,0,1,1,0,0,1,1,0,11
"Imadol, Lalitpur",31500000.0,1779.7,20.0,EAST,2.0,6.0,5.0,House,5.0,1,0,0,0,0,1,1,1,1,1,0,11
"Ochu Height, Lalitpur",29000000.0,1095.2,13.0,SOUTH,2.5,6.0,6.0,House,6.0,1,1,0,0,1,1,1,1,1,1,0,11
"Imadol, Lalitpur",42500000.0,1437.45,20.0,EAST,3.0,5.0,4.0,House,5.0,2,1,0,0,0,1,1,1,0,1,0,11
"Bhaisepati, Lalitpur",46500000.0,1369.0,12.0,SOUTH-EAST,2.0,4.0,4.0,House,9.0,2,1,0,0,1,1,1,1,1,1,1,11
