LOCATION,PRICE,LAND AREA,ROAD ACCESS,FACING,FLOOR,BEDROOM,BATHROOM,PROPERTY_TYPE,HOUSE AGE,PARKING_SPACES,PARKING,BALCONY,GARDEN,DRAINAGE,DRINKING_WATER,EARTHQUAKE_RESISTANT,MODULAR_KITCHEN,LIVING_ROOM,DINING_ROOM,POWER_BACKUP,AMENITIES_COUNT
"Thaiba, Lalitpur",26000000.0,1403.225,13.0,SOUTH,2.5,2.0,3.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",24000000.0,787.175,13.0,SOUTH,3.5,5.0,4.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",31000000.0,1095.2,13.0,EAST,3.5,5.0,3.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",25500000.0,1026.75,13.0,NORTH,2.5,6.0,3.0,House,17.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,28500000.0,1095.2,12.0,EAST,2.5,4.0,3.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sunakothi, Lalitpur",51500000.0,2395.75,20.0,NORTH,2.5,4.0,4.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,22000000.0,1026.75,16.5,EAST,2.5,5.0,5.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,27000000.0,1129.425,13.0,SOUTH-WEST,2.5,7.0,3.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kapan, Kathmandu",29500000.0,1095.2,13.0,NORTH,2.5,6.0,5.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",28000000.0,1026.75,13.0,NORTH,2.5,6.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,57500000.0,3114.475,15.0,NORTH,2.5,4.0,3.0,Bungalow,7.0,0,1,0,0,1,1,1,0,0,0,0,6
"Banasthali, Kathmandu",35000000.0,787.175,15.0,SOUTH-WEST,3.5,6.0,4.0,House,4.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bhaisepati, Lalitpur",140000000.0,2806.45,13.0,SOUTH,2.0,4.0,5.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,17500000.0,1060.9750000000001,11.0,WEST,2.0,6.0,3.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",28800000.0,1095.2,10.0,UNKNOWN,2.5,5.0,4.0,House,4.0,0,1,0,0,1,1,0,0,0,0,0,4
"Dhapakhel, Lalitpur",27500000.0,3080.25,4.0,NORTH-EAST,2.5,,4.0,House,11.0,0,1,0,1,1,1,0,0,0,0,1,7
"Kalanki, Kathmandu",23500000.0,1060.9750000000001,13.0,EAST,2.5,5.0,4.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,25000000.0,1369.0,8.0,SOUTH-EAST,3.5,4.0,2.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Dhapasi, Kathmandu",51000000.0,2053.5,20.0,EAST,2.5,4.0,2.0,House,4.0,0,1,0,1,1,1,0,0,0,0,0,6
"Sanepa, Lalitpur",63500000.0,2293.0750000000003,14.0,NORTH-WEST,2.5,5.0,5.0,House,4.0,0,0,0,0,0,0,1,0,0,1,0,11
"Hepali Height, Kathmandu",70000000.0,1813.925,17.0,EAST,2.0,4.0,4.0,Bungalow,7.0,0,1,0,1,1,1,1,0,0,0,1,9
"Bhaisepati, Lalitpur",78000000.0,2395.75,13.0,NORTH,2.5,5.0,5.0,Bungalow,11.0,0,1,0,0,1,1,1,1,0,0,0,8
"Bhaisepati, Lalitpur",85000000.0,2395.75,13.0,EAST,2.5,5.0,5.0,Bungalow,3.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",25000000.0,1026.75,13.0,EAST,2.5,5.0,3.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
"Tikathali, Lalitpur",16500000.0,1026.75,13.0,NORTH,1.0,2.0,1.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",34500000.0,1369.0,13.0,EAST,2.5,6.0,3.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bafal, Kathmandu",23500000.0,752.95,12.0,NORTH,2.5,6.0,2.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kalanki, Kathmandu",38500000.0,1437.45,13.0,NORTH,3.0,4.0,5.0,House,9.0,0,0,0,0,0,0,1,0,0,1,0,11
"Rudreshwor, Kathmandu",33500000.0,1711.25,12.5,NORTH-WEST,2.5,5.0,4.0,Bungalow,10.0,0,1,0,0,1,1,1,0,0,0,1,7
"Tikathali, Lalitpur",21500000.0,787.175,13.0,EAST,2.5,9.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Dhapasi, Kathmandu",39000000.0,2395.75,12.0,EAST,2.5,7.0,4.0,House,7.0,0,1,0,1,1,1,0,0,0,0,0,6
"Imadol, Lalitpur",27500000.0,1026.75,20.0,WEST,3.5,5.0,3.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
"Mandikhatar, Kathmandu",29500000.0,1060.9750000000001,13.0,NORTH,3.0,6.0,5.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
"Chandragiri, Kathmandu",16000000.0,1369.0,10.0,SOUTH-EAST,2.0,2.0,2.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,72500000.0,3422.5,13.0,NORTH-EAST,2.5,6.0,3.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sundarbasti, Kathmandu",38500000.0,1540.125,13.0,NORTH,3.5,6.0,5.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Golfutar, Kathmandu",29500000.0,1369.0,16.0,SOUTH,2.5,4.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Dhapasi, Kathmandu",25000000.0,1369.0,15.0,EAST,2.5,6.0,6.0,House,9.0,0,1,0,1,1,1,0,0,0,0,0,5
"Imadol, Lalitpur",26000000.0,1026.75,13.0,EAST,2.5,3.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",32500000.0,1129.425,23.0,WEST,2.5,6.0,4.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",22500000.0,1197.875,12.0,EAST,2.5,5.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",40000000.0,1437.45,13.0,SOUTH,2.5,6.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",31500000.0,1060.9750000000001,13.0,WEST,2.5,4.0,4.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",33000000.0,1095.2,13.0,WEST,2.5,5.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Tikathali, Lalitpur",27000000.0,1403.225,13.0,NORTH-WEST,2.5,7.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Setipakha, Lalitpur",22500000.0,787.175,13.0,EAST,2.5,4.0,4.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
"Ochu Height, Lalitpur",33000000.0,1129.425,16.0,SOUTH,2.5,6.0,4.0,House,4.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,36000000.0,1026.75,20.0,EAST,2.5,6.0,5.0,House,25.0,0,1,0,0,1,1,0,0,0,0,0,4
"Ochu Height, Lalitpur",37500000.0,1369.0,16.0,WEST,2.5,6.0,5.0,House,11.0,0,1,0,0,0,0,1,0,0,0,0,5
"Nakkhu, Lalitpur",39900000.0,1711.25,13.0,EAST,2.0,4.0,4.0,House,14.0,0,1,0,1,1,1,0,0,0,0,0,5
Other,17000000.0,1369.0,10.0,EAST,2.5,7.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,5
"Ochu Height, Lalitpur",24500000.0,1095.2,13.0,SOUTH,2.5,5.0,4.0,House,4.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",35000000.0,1369.0,13.0,WEST,2.5,5.0,5.0,House,4.0,0,1,0,0,1,0,0,0,0,0,0,4
"Pasikot, Kathmandu",32000000.0,1026.75,20.0,NORTH-WEST,2.5,4.0,4.0,Villa,7.0,0,1,0,1,1,1,0,0,0,0,0,5
Other,30000000.0,102.675,20.0,SOUTH,5.0,,4.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,5
"Sitapaila, Kathmandu",38000000.0,2053.5,13.0,EAST,2.5,6.0,6.0,House,7.0,0,0,0,1,1,1,0,0,0,0,1,6
"Budhanilkantha, Kathmandu",28000000.0,1026.75,13.0,WEST,2.5,6.0,3.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Pepsicola, Kathmandu",75000000.0,4449.25,13.0,NORTH,2.5,5.0,5.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,31000000.0,1129.425,10.0,NORTH,2.5,4.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sitapaila, Kathmandu",38000000.0,1745.475,13.0,EAST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,6
"Pepsicola, Kathmandu",32500000.0,1369.0,20.0,EAST,2.5,4.0,4.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,29000000.0,1095.2,13.0,NORTH,2.5,6.0,3.0,House,11.0,0,1,0,0,1,1,0,0,0,0,0,4
"Pasikot, Kathmandu",28000000.0,1026.75,20.0,SOUTH-EAST,3.5,6.0,8.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,66000000.0,1540.125,16.0,NORTH-EAST,4.5,3.0,6.0,House,19.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,21900000.0,1026.75,11.0,EAST,3.5,7.0,4.0,House,23.0,0,1,0,0,1,1,1,0,0,0,0,6
"Nakhipot, Lalitpur",28000000.0,1095.2,13.0,SOUTH,2.5,5.0,3.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,17500000.0,1129.425,10.0,SOUTH-EAST,2.5,3.0,3.0,House,24.0,0,1,0,0,1,1,1,0,0,0,0,7
"Nakhipot, Lalitpur",27000000.0,1197.875,20.0,SOUTH-WEST,2.5,5.0,4.0,House,23.0,0,1,0,0,1,1,1,0,0,0,0,7
"Hattiban, Lalitpur",25500000.0,1095.2,13.0,SOUTH,2.5,6.0,5.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,36500000.0,1369.0,13.0,EAST,2.5,5.0,3.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
"Mandikhatar, Kathmandu",29500000.0,1060.9750000000001,13.0,WEST,2.5,6.0,5.0,House,25.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,45000000.0,1026.75,16.0,EAST,4.0,6.0,4.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,46000000.0,1197.875,27.0,NORTH-EAST,3.5,5.0,6.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bhangal, Kathmandu",17800000.0,1060.9750000000001,9.0,NORTH,1.5,3.0,2.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Hattigaunda, Kathmandu",34500000.0,1711.25,13.0,NORTH,3.0,7.0,4.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",35000000.0,1369.0,13.0,WEST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,7
"Kapan, Kathmandu",18800000.0,752.95,12.0,EAST,2.5,4.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",27000000.0,1026.75,10.0,EAST,2.5,5.0,4.0,House,23.0,0,1,0,0,1,1,1,0,0,0,0,6
Other,15000000.0,1026.75,13.0,WEST,1.5,3.0,2.0,House,29.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,25500000.0,1026.75,10.0,WEST,2.5,8.0,3.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
"Tikathali, Lalitpur",25000000.0,1060.9750000000001,13.0,NORTH,2.5,6.0,3.0,House,27.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",37000000.0,1711.25,13.0,SOUTH-WEST,2.5,6.0,6.0,House,7.0,0,1,0,1,1,1,0,0,0,0,0,5
"Kusunti, Lalitpur",39500000.0,1779.7,13.0,EAST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,32500000.0,1369.0,10.0,UNKNOWN,3.5,10.0,4.0,House,19.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",27500000.0,1026.75,13.0,WEST,3.0,5.0,3.0,House,8.0,0,1,0,0,1,0,1,0,0,0,0,5
"Dhapasi, Kathmandu",135000000.0,4791.5,20.0,SOUTH-EAST,3.5,5.0,6.0,Villa,16.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",22000000.0,787.175,10.0,NORTH,3.0,4.0,3.0,House,12.0,0,1,0,0,0,0,1,1,0,0,1,7
"Dhapasi, Kathmandu",12000000.0,1026.75,20.0,WEST,2.5,4.0,4.0,House,17.0,0,0,0,0,1,1,0,0,0,0,0,3
"Sukedhara, Kathmandu",55000000.0,1779.7,13.0,SOUTH,2.5,4.0,3.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
"Pasikot, Kathmandu",28000000.0,1779.7,12.5,NORTH-EAST,1.0,2.0,2.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Satdobato, Lalitpur",45000000.0,2087.725,13.0,WEST,2.5,5.0,5.0,House,25.0,0,0,0,1,1,1,0,0,0,0,0,4
Other,13500000.0,1369.0,13.0,SOUTH,2.5,8.0,4.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,5
"Imadol, Lalitpur",32500000.0,1129.425,13.0,SOUTH,2.5,5.0,4.0,House,9.0,0,1,0,0,1,0,1,0,0,0,0,5
"Imadol, Lalitpur",37500000.0,1369.0,16.0,EAST,2.5,4.0,4.0,Bungalow,9.0,0,1,0,0,1,0,1,0,0,0,0,5
"Thankot, Kathmandu",14500000.0,1026.75,10.0,NORTH-EAST,1.0,2.0,4.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kalanki, Kathmandu",26000000.0,1129.425,11.0,NORTH,3.0,5.0,6.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,24000000.0,1369.0,14.0,EAST,2.0,4.0,2.0,House,31.0,0,1,0,0,1,0,0,0,0,0,1,5
Other,38000000.0,1369.0,10.0,EAST,2.5,3.0,3.0,House,29.0,0,1,0,0,1,1,0,0,0,0,0,5
"Kapan, Kathmandu",29500000.0,1369.0,13.0,WEST,2.4,6.0,5.0,House,9.0,0,1,0,1,1,1,0,0,0,0,0,5
"Kalanki, Kathmandu",25500000.0,1437.45,20.0,NORTH-EAST,2.0,5.0,4.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kapan, Kathmandu",31000000.0,1369.0,12.0,NORTH,3.5,8.0,3.0,House,25.0,0,1,0,1,1,1,0,0,0,0,0,5
Other,24000000.0,1095.2,26.0,WEST,3.5,,3.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,5
"Imadol, Lalitpur",42500000.0,1369.0,20.0,SOUTH-EAST,2.5,4.0,4.0,House,7.0,0,0,0,0,0,0,1,0,0,1,1,11
Other,30000000.0,1026.75,20.0,WEST,2.5,4.0,5.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",34500000.0,1369.0,13.0,SOUTH,2.5,6.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,74000000.0,3764.75,13.0,SOUTH,3.5,8.0,4.0,House,29.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sunakothi, Lalitpur",37500000.0,1095.2,20.0,SOUTH-EAST,2.5,4.0,4.0,Bungalow,13.0,0,1,0,1,1,1,1,0,0,0,0,9
"Bhaisepati, Lalitpur",85000000.0,1711.25,14.0,SOUTH,2.5,5.0,7.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,20000000.0,1026.75,12.0,EAST,2.0,2.0,2.0,House,14.0,0,1,0,1,1,1,0,0,0,0,0,5
"Hattigaunda, Kathmandu",34500000.0,2087.725,14.0,NORTH-EAST,2.0,7.0,4.0,House,16.0,0,1,0,0,1,1,0,0,0,0,0,4
"Pasikot, Kathmandu",34000000.0,1369.0,13.0,EAST,2.5,5.0,4.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,67500000.0,2738.0,12.0,SOUTH-EAST,2.0,9.0,6.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",47000000.0,2053.5,16.0,SOUTH,2.0,6.0,3.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,50000000.0,2053.5,10.5,UNKNOWN,3.0,,4.0,Bungalow,9.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,33000000.0,1369.0,13.0,WEST,2.0,5.0,4.0,House,10.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,140000000.0,5818.25,15.0,SOUTH,2.5,6.0,3.0,Bungalow,12.0,0,1,0,0,1,1,0,0,0,0,0,5
"Budhanilkantha, Kathmandu",34000000.0,1369.0,13.0,NORTH,2.5,6.0,3.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,42000000.0,1471.675,12.0,NORTH-EAST,2.5,6.0,3.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,5
"Budhanilkantha, Kathmandu",34500000.0,1369.0,13.0,SOUTH,2.5,6.0,3.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Sunakothi, Lalitpur",37500000.0,1711.25,20.0,NORTH-EAST,2.5,3.0,4.0,House,10.0,0,0,0,0,0,0,1,0,0,1,0,11
"Bhaisepati, Lalitpur",78000000.0,2053.5,13.0,NORTH-EAST,2.5,4.0,5.0,Bungalow,16.0,0,0,0,0,0,0,1,0,0,1,0,11
"Hattigaunda, Kathmandu",77000000.0,2121.9500000000003,20.0,WEST,2.5,4.0,5.0,House,18.0,0,0,0,1,0,1,1,1,0,0,1,8
"Syuchatar, Kathmandu",38000000.0,1369.0,18.0,SOUTH-EAST,2.5,4.0,3.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
"Gwarko, Lalitpur",15500000.0,787.175,13.0,SOUTH,1.0,2.0,1.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",23500000.0,1026.75,13.0,EAST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Baluwatar, Kathmandu",35000000.0,684.5,17.0,UNKNOWN,4.0,,4.0,House,7.0,0,0,0,0,1,1,0,0,0,0,0,3
"Sitapaila, Kathmandu",62500000.0,2464.2000000000003,17.0,NORTH,2.5,4.0,5.0,Bungalow,18.0,0,1,0,0,1,1,0,0,0,0,0,5
"Thaiba, Lalitpur",18000000.0,1129.425,20.0,SOUTH,2.5,4.0,3.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
"Ochu Height, Lalitpur",27000000.0,1095.2,13.0,SOUTH,2.5,5.0,3.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,41500000.0,1369.0,6.0,SOUTH,4.0,5.0,5.0,House,10.0,0,1,0,0,1,1,1,0,0,0,0,7
"Sanagaun, Lalitpur",20400000.0,1026.75,11.5,SOUTH-WEST,2.5,4.0,3.0,House,8.0,0,1,0,0,1,1,1,0,0,0,0,6
"Bhaisepati, Lalitpur",78000000.0,2053.5,13.0,WEST,2.0,4.0,5.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,41000000.0,1437.45,20.0,SOUTH,3.5,6.0,6.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
"Mandikhatar, Kathmandu",40000000.0,1471.675,13.0,WEST,2.5,4.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Deuwa Chowk, Kathmandu",43500000.0,2053.5,13.0,NORTH,3.0,6.0,4.0,Bungalow,7.0,0,1,0,0,1,0,1,1,0,0,1,7
"Dhapasi, Kathmandu",58000000.0,3422.5,13.0,EAST,2.0,4.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Gothatar, Kathmandu",38000000.0,1369.0,10.0,NORTH,2.5,8.0,5.0,House,9.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,30000000.0,1095.2,13.0,NORTH-WEST,3.0,12.0,5.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,15000000.0,1026.75,17.0,SOUTH,2.5,4.0,4.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,30000000.0,1369.0,15.0,NORTH,2.5,5.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,3
Other,35000000.0,2053.5,16.5,NORTH,2.5,7.0,4.0,House,9.0,0,1,0,1,1,0,1,0,0,0,1,8
Other,15500000.0,1197.875,10.0,NORTH,2.5,4.0,2.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,4
"Kapan, Kathmandu",29500000.0,1403.225,13.0,NORTH-EAST,2.5,6.0,5.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",33500000.0,1095.2,16.0,WEST,2.5,,4.0,House,13.0,0,1,0,1,1,1,0,0,0,0,0,5
"Nakhipot, Lalitpur",50000000.0,1540.125,19.0,NORTH,3.5,5.0,6.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
"Khumaltar, Lalitpur",55000000.0,1711.25,13.0,SOUTH,3.0,3.0,4.0,House,14.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bhangal, Kathmandu",29500000.0,1095.2,11.0,NORTH,2.5,5.0,3.0,House,13.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,68000000.0,2121.9500000000003,23.0,NORTH-EAST,3.5,7.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,23000000.0,1026.75,13.0,WEST,2.5,4.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Gwarko, Lalitpur",27000000.0,1060.9750000000001,13.0,SOUTH,2.5,4.0,3.0,House,15.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",29000000.0,1369.0,13.0,NORTH,2.5,5.0,4.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
"Imadol, Lalitpur",27500000.0,1095.2,13.0,EAST,2.5,4.0,4.0,House,23.0,0,1,0,1,1,0,0,0,0,0,0,4
Other,35000000.0,1437.45,12.0,EAST,3.5,12.0,6.0,House,23.0,0,1,0,0,0,1,1,1,0,1,0,11
Other,13300000.0,1095.2,10.0,WEST,1.0,2.0,1.0,House,7.0,0,1,0,0,1,0,1,0,0,0,0,5
"Bhangal, Kathmandu",28500000.0,1095.2,9.0,EAST,2.5,4.0,3.0,House,23.0,0,1,0,0,1,1,0,0,0,0,0,4
"Dhapasi, Kathmandu",61000000.0,3422.5,13.0,EAST,2.0,4.0,3.0,House,16.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,82000000.0,2053.5,10.0,SOUTH-EAST,3.0,8.0,3.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",46000000.0,1813.925,27.0,NORTH-EAST,3.5,6.0,4.0,House,15.0,0,1,0,0,1,1,0,0,0,0,0,4
"Lubhu, Lalitpur",17000000.0,752.95,13.0,NORTH-EAST,2.5,5.0,2.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,6
"Golfutar, Kathmandu",80000000.0,3080.25,11.0,UNKNOWN,2.5,,4.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,4
"Budhanilkantha, Kathmandu",39000000.0,2053.5,14.5,SOUTH-WEST,3.0,6.0,6.0,House,6.0,0,1,0,0,1,1,0,0,0,0,0,4
"Jarankhu, Kathmandu",16000000.0,1095.2,10.0,SOUTH-WEST,2.5,4.0,3.0,House,14.0,0,1,0,0,1,0,0,0,0,0,0,3
Other,75000000.0,2464.2000000000003,15.0,UNKNOWN,3.0,,4.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,35000000.0,2738.0,13.0,NORTH,2.5,5.0,4.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,24000000.0,1026.75,20.0,SOUTH,2.5,4.0,3.0,House,15.0,0,1,0,0,1,1,1,0,0,0,0,5
"Bansbari, Kathmandu",65000000.0,2087.725,15.0,NORTH,2.5,3.0,3.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,6
"Imadol, Lalitpur",26500000.0,1060.9750000000001,20.0,SOUTH,2.5,4.0,3.0,House,7.0,0,1,0,0,1,0,1,0,0,0,0,5
Other,33000000.0,1369.0,10.0,NORTH,2.5,5.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,6
Other,41500000.0,1369.0,20.0,SOUTH,2.5,4.0,4.0,House,13.0,0,1,0,0,0,1,1,1,0,0,1,7
Other,19000000.0,1369.0,16.0,NORTH,2.5,4.0,4.0,House,9.0,0,1,0,0,1,1,1,0,0,0,0,6
"Mandikhatar, Kathmandu",65000000.0,2738.0,13.0,NORTH-EAST,2.5,5.0,5.0,Bungalow,7.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,30500000.0,1369.0,13.0,WEST,2.5,5.0,4.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,75000000.0,2087.725,15.0,SOUTH,2.5,5.0,4.0,Bungalow,6.0,0,1,0,0,1,1,1,0,0,0,0,6
Other,41900000.00000001,1711.25,20.0,NORTH,2.5,5.0,4.0,House,13.0,0,0,0,0,0,1,1,0,0,0,1,7
"Chunikhel, Kathmandu",25000000.0,1026.75,10.0,SOUTH,3.5,7.0,3.0,House,14.0,0,1,0,0,1,1,1,0,0,0,1,7
Other,51000000.0,1711.25,12.0,NORTH,2.5,4.0,4.0,House,8.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,56000000.0,2053.5,11.0,EAST,2.5,5.0,4.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,5
Other,35000000.0,2121.9500000000003,8.0,WEST,2.5,4.0,2.0,House,21.0,0,1,0,1,1,1,0,0,0,0,1,7
Other,18000000.0,1369.0,13.0,NORTH-EAST,1.0,3.0,2.0,House,7.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bansbari, Kathmandu",55000000.0,2121.9500000000003,13.0,SOUTH-EAST,2.5,6.0,5.0,Bungalow,13.0,0,1,0,1,1,1,0,0,0,0,0,5
Other,29000000.0,1813.925,16.5,NORTH,2.5,4.0,5.0,House,20.0,0,1,0,0,1,1,0,0,0,0,0,4
"Bhaisepati, Lalitpur",55000000.0,1437.45,10.0,SOUTH-EAST,2.5,3.0,4.0,House,21.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,27500000.0,752.95,20.0,SOUTH,2.5,5.0,3.0,House,21.0,0,0,0,1,1,1,0,0,0,0,0,4
"Bafal, Kathmandu",36500000.0,1711.25,13.0,SOUTH,3.0,5.0,4.0,House,18.0,0,1,0,0,1,1,0,0,0,0,0,4
Other,61500000.0,2053.5,13.0,SOUTH,2.5,5.0,3.0,House,15.0,0,1,0,1,1,1,0,0,0,0,0,5
"Chandragiri, Kathmandu",17000000.0,1095.2,10.0,SOUTH-EAST,2.5,6.0,3.0,House,7.0,0,1,0,0,1,1,1,0,0,0,0,5
